timeStamps;magnitude;shape
('2017 1 2', '2017 1 8');74.02942038142848;4019.0347588110067
('2017 1 9', '2017 1 15');8.737720431420088;503.78589149582353
('2017 2 13', '2017 2 19');38.43159127124865;3246.430249570883
('2017 6 5', '2017 6 11');-17.52600991027909;844.126641232883
('2017 7 10', '2017 7 16');-16.471415076195804;474.3582042382241
('2017 8 14', '2017 8 20');-17.992126038270463;316.02340396047197
('2018 2 12', '2018 2 18');12.625914689804858;275.353595267028
('2018 3 26', '2018 4 1');-23.732398906787516;1942.430861357479
('2018 8 13', '2018 8 19');-12.500672519361823;447.2240180221105
('2018 11 12', '2018 11 18');25.93902278168359;205.0246211382197
('2018 11 26', '2018 12 2');21.500896947429755;30.488087242130796
('2018 12 3', '2018 12 9');15.845217207003053;59.32034418850371
('2018 12 10', '2018 12 16');20.454637664215497;765.1479110563625
('2018 12 17', '2018 12 23');47.0051822953922;1858.9747563186122
('2018 12 24', '2018 12 30');21.146446315896245;341.68451831627954
('2019 2 4', '2019 2 10');16.13412167923551;138.8667202440158
('2019 2 11', '2019 2 17');62.97910752488071;2527.774184080257
('2019 12 9', '2019 12 15');12.728371293169376;370.69797339857746
('2019 12 23', '2019 12 29');22.17089219986564;333.6356006483097
('2020 3 30', '2020 4 5');-19.43882586555875;506.83166918364265
('2020 4 6', '2020 4 12');-21.885479757673735;1915.7551490668159
('2020 5 11', '2020 5 17');-22.743183359187295;744.3972481127585
('2020 6 1', '2020 6 7');-34.74943727608042;3447.6886507007976
('2020 7 6', '2020 7 12');-19.422949358692296;296.19228147491856
('2020 8 17', '2020 8 23');-14.85249178351736;318.39609133506326
('2020 8 31', '2020 9 6');-32.07504729106187;3613.9222883655825
('2021 2 15', '2021 2 21');-15.871396923027962;897.0069418984518
('2021 12 20', '2021 12 26');12.788247163161298;153.983478925206
('2022 7 4', '2022 7 10');-46.200452537260546;4848.936611844822
('2022 7 25', '2022 7 31');-16.36140154143525;53.13993836245015
